shortName	gemma_term	gemma_uri	gpt_cell_lines	gpt_term	gpt_term_id	basic_match	specific	sensitive
GSE9499	GM08729 cell|||lymphoblastoid cell line|||GM08714 cell|||GM08728 cell	http://purl.obolibrary.org/obo/CLO_0010503|||http://www.ebi.ac.uk/efo/EFO_0005292|||http://purl.obolibrary.org/obo/CLO_0010422|||http://purl.obolibrary.org/obo/CLO_0010502	GM08729|||GM08728|||LCL1|||CM304|||CM774|||4088|||GM08714|||10759	GM08729|||GM08728|||LCL1|||CM304|||CM774|||4088|||GM08714|||10759	CLO:0010503|||CLO:0010502|||EFO:0022661|||EFO:0022622	TRUE	FALSE	FALSE
GSE39	NG108-15 cell	http://purl.obolibrary.org/obo/CLO_0008162	NG108	NG108-15	CLO:0008162	TRUE	TRUE	TRUE
GSE244349	bEnd.3 cell	http://purl.obolibrary.org/obo/CLO_0001928	bEnd3.1|||HBEC	bEnd3.1|||HBEC	CLO:0001928|||EFO:0002451	TRUE	FALSE	TRUE
GSE211363	LNCAP cell|||PC-3 cell	http://purl.obolibrary.org/obo/CLO_0007365|||http://purl.obolibrary.org/obo/CLO_0008395	LNCaP|||PC-3	LNCaP|||PC-3	EFO:0002071|||EFO:0002074	FALSE	FALSE	FALSE
GSE13459	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7	MCF-7	EFO:0001203	FALSE	FALSE	FALSE
GSE210469	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	HeLa	HeLa	CLO:0003684	TRUE	TRUE	TRUE
GSE225162	cerebral cortex|||neuron|||HEK293T cell	http://purl.obolibrary.org/obo/UBERON_0000956|||http://purl.obolibrary.org/obo/CL_0000540|||http://purl.obolibrary.org/obo/CLO_0037372	HEK293T	HEK293	EFO:0001182	FALSE	FALSE	FALSE
GSE58316	lymphoblastoid cell line	http://www.ebi.ac.uk/efo/EFO_0005292	LBL	LBL	EFO:0022555	FALSE	FALSE	FALSE
GSE247299	stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037224	mGB2	UWR2	EFO:0022671	FALSE	FALSE	FALSE
GSE57231	V6.5	http://www.ebi.ac.uk/efo/EFO_0006308	v6.5	V6.5	EFO:0006308	TRUE	TRUE	TRUE
GSE185624	CAL-33 cell	http://purl.obolibrary.org/obo/CLO_0002183	Cal33	Cal33	EFO:0022592	FALSE	FALSE	FALSE
GSE52934	JURKAT cell	http://purl.obolibrary.org/obo/CLO_0007043	Jurkat T cell	Jurkat T cell	EFO:0002796	FALSE	FALSE	FALSE
GSE30190	Neuro-2a cell	http://purl.obolibrary.org/obo/CLO_0008154	N2a	Neuro-2a	EFO:0022756	FALSE	FALSE	FALSE
GSE10061	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE72913	UT-7 cell|||undifferentiated|||basophil	http://purl.obolibrary.org/obo/CLO_0009490|||http://purl.obolibrary.org/obo/PATO_0002100|||http://purl.obolibrary.org/obo/CL_0000767	UT7	UT7	EFO:0022372	FALSE	FALSE	FALSE
GSE28584	Ect1/E6E7 cell	http://purl.obolibrary.org/obo/CLO_0002879	Ect1/E6E7	Ect1/E6E7	EFO:0005264	FALSE	FALSE	FALSE
GSE228941	Huh7 cell|||senescent|||IMR-90 cell	http://purl.obolibrary.org/obo/CLO_0009989|||http://purl.obolibrary.org/obo/PATO_0001487|||http://purl.obolibrary.org/obo/CLO_0006951	IMR-90|||Huh7	IMR-90|||Huh7	EFO:0001196|||EFO:0005384	FALSE	FALSE	FALSE
GSE77942	A549 cell	http://purl.obolibrary.org/obo/CLO_0001601	A549	A549	EFO:0001086	FALSE	FALSE	FALSE
GSE195761	MCF7 cell|||BT549|||SUM159PT cell	http://purl.obolibrary.org/obo/CLO_0007606|||http://www.ebi.ac.uk/efo/EFO_0001096|||http://purl.obolibrary.org/obo/CLO_0009918	MCF7|||BT549|||SUM159|||MCF7ras+SS	MCF7|||BT549|||SUM159	EFO:0001203|||EFO:0001096|||EFO:0006762	TRUE	FALSE	FALSE
GSE8057	A2780 cell	http://purl.obolibrary.org/obo/CLO_0001571	A2780	A2780	EFO:0006362	FALSE	FALSE	FALSE
GSE167515	C17.2 cell	http://purl.obolibrary.org/obo/CLO_0037251	C17.2	C17.2	CLO:0037251	TRUE	TRUE	TRUE
GSE158103	OCI-AML3 cell	http://purl.obolibrary.org/obo/CLO_0009853	OCI-AML3	OCI-AML3	EFO:0006289	FALSE	FALSE	FALSE
GSE220856	HepaRG	http://www.ebi.ac.uk/efo/EFO_0001186	HepaRG	HepaRG	EFO:0001186	TRUE	TRUE	TRUE
GSE14910	Caco-2 cell|||RKO cell	http://purl.obolibrary.org/obo/CLO_0002172|||http://purl.obolibrary.org/obo/CLO_0008825	RKO|||CaCo-2	RKO|||CaCo-2	CLO:0008825|||CLO:0002172	TRUE	TRUE	TRUE
GSE66433	SH-SY5Y cell	http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y	SH-SY5Y	EFO:0002717	FALSE	FALSE	FALSE
GSE1906	RAW 264.7 cell	http://purl.obolibrary.org/obo/CLO_0008753	RAW 264.7	RAW 264.7	CLO:0008753	TRUE	TRUE	TRUE
GSE114685	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	GM07492	GM07492	EFO:0009747	FALSE	FALSE	FALSE
GSE20595	SW620 cell|||SW480 cell	http://purl.obolibrary.org/obo/CLO_0009221|||http://purl.obolibrary.org/obo/CLO_0009218	SW620|||SW480	SW620|||SW480	EFO:0002368|||EFO:0002083	FALSE	FALSE	FALSE
GSE205422	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	JNJ005|||JNJ002|||JNJ008|||JNJ004|||JNJ009|||JNJ007|||JNJ010|||JNJ001|||JNJ011|||JNJ012|||9691|||11822|||14934|||14959|||14474|||11692|||14961	JNJ005|||JNJ002|||JNJ008|||JNJ004|||JNJ009|||JNJ007|||JNJ010|||JNJ001|||JNJ011|||JNJ012|||9691|||11822|||14934|||14959|||14474|||11692|||14961	EFO:0007098	FALSE	FALSE	FALSE
GSE29084	Hep G2 cell	http://purl.obolibrary.org/obo/CLO_0003704	HepG2	HepG2	EFO:0001187	FALSE	FALSE	FALSE
GSE245515	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	LS200	LS200	EFO:0009747	FALSE	FALSE	FALSE
GSE104849	WM 266-4 cell|||A-375 cell|||SK-MEL-28 cell	http://purl.obolibrary.org/obo/CLO_0009612|||http://purl.obolibrary.org/obo/CLO_0001582|||http://purl.obolibrary.org/obo/CLO_0009043	A375|||SKmel28|||WM266-4|||WM266-4 EV|||WM266-4 ID3	A375|||SKmel28|||WM266-4|||WM266-4 EV|||WM266-4 ID3	EFO:0002103|||EFO:0003081|||EFO:0006774|||CLO:0009615|||CLO:0009615	FALSE	FALSE	FALSE
GSE230477	ES-E14	http://www.ebi.ac.uk/efo/EFO_0007075	E14	E14	EFO:0007075	TRUE	TRUE	TRUE
GSE8640	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE133965	A549 cell|||HEK293T cell	http://purl.obolibrary.org/obo/CLO_0001601|||http://purl.obolibrary.org/obo/CLO_0037372	HEK293T|||A549	HEK293T|||A549	CLO:0037372|||EFO:0001086	TRUE	FALSE	FALSE
GSE163088	human embryonic stem cell line cell|||human induced pluripotent stem cell line cell|||astrocyte	http://purl.obolibrary.org/obo/CLO_0037280|||http://purl.obolibrary.org/obo/CLO_0037308|||http://purl.obolibrary.org/obo/CL_0000127	iPSC-derived astrocytes	iPSC-derived astrocytes	EFO:0005740	FALSE	FALSE	FALSE
GSE73591	N18TG2 cell	http://purl.obolibrary.org/obo/CLO_0007921	N18TG2|||ChAT-expressing 2/4 clone	N18TG2|||ChAT-expressing 2/4 clone	CLO:0007921|||CLO:0007921	TRUE	TRUE	TRUE
GSE228537	K2 cell	http://purl.obolibrary.org/obo/CLO_0037127	SFCi55|||K2|||iCDA4.1	SFCi55|||K2|||iCDA4.1	EFO:0005740|||EFO:0005740|||EFO:0005740	FALSE	FALSE	FALSE
GSE196774	H9 ES cell	http://purl.obolibrary.org/obo/CLO_0037313	H9	H9	EFO:0003045	FALSE	FALSE	FALSE
GSE141696	T-47D cell|||BT-483 cell	http://purl.obolibrary.org/obo/CLO_0009251|||http://purl.obolibrary.org/obo/CLO_0002043	BT483|||T47D-TamR	BT483|||T47D-TamR	CLO:0050868|||EFO:0022460	FALSE	FALSE	FALSE
GSE249025	PC12	http://www.ebi.ac.uk/efo/EFO_0001225	PC12	PC12	CLO:0008392	FALSE	FALSE	FALSE
GSE215107	lung cancer cell line	http://www.ebi.ac.uk/efo/EFO_0002934	LLC	LLC	EFO:0002934	TRUE	TRUE	TRUE
GSE27277	J774A.1 cell	http://purl.obolibrary.org/obo/CLO_0007005	J774A.1	J-774A.1	EFO:0022735	FALSE	FALSE	FALSE
GSE140651	P3HR-1 cell	http://purl.obolibrary.org/obo/CLO_0008331	P3HR-1|||Akata EBV+	P3HR-1|||Akata EBV+	CLO:0008331|||BTO:0000164	TRUE	FALSE	TRUE
GSE48400	Huh7 cell	http://purl.obolibrary.org/obo/CLO_0009989	Huh7	HuH-7	EFO:0005384	FALSE	FALSE	FALSE
GSE22795	Line H1 cell	http://purl.obolibrary.org/obo/CLO_0037281				FALSE	TRUE	FALSE
GSE41840	primary cultured human fibroblast cell|||lymphoblast	http://purl.obolibrary.org/obo/CLO_0037302|||http://www.ebi.ac.uk/efo/EFO_0000572	EBV-transformed lymphoblastoid cell lines (LCLs)|||Primary fibroblasts	EBV-transformed lymphoblastoid cell lines (LCLs)|||Primary fibroblasts	EFO:0022546|||CLO:0037302	TRUE	FALSE	FALSE
GSE98069	PC-3 cell|||C4-2B|||22Rv1|||NCI-H660 cell|||LNCaP cell|||MY-M12 cell	http://purl.obolibrary.org/obo/CLO_0008395|||http://www.ebi.ac.uk/efo/EFO_0006365|||http://www.ebi.ac.uk/efo/EFO_0002095|||http://purl.obolibrary.org/obo/CLO_0008102|||http://purl.obolibrary.org/obo/CLO_0037116|||http://purl.obolibrary.org/obo/CLO_0037185	PC3|||LNCaP|||C42B|||DU145|||MR49F|||22RV1|||M12|||abl	PC3|||LNCaP|||C42B|||DU145|||MR49F|||22RV1|||M12|||abl	EFO:0002074|||EFO:0005726|||EFO:0006365|||EFO:0005441|||EFO:0006365|||EFO:0002095|||BTO:0001033|||BTO:0001033	TRUE	FALSE	FALSE
GSE72621	IMR-90 cell|||HCT 116 cell	http://purl.obolibrary.org/obo/CLO_0006951|||http://purl.obolibrary.org/obo/CLO_0003665	IMR90|||HCT116	IMR90|||HCT116	EFO:0001196|||EFO:0002824	FALSE	FALSE	FALSE
GSE180999	cancer cell line	http://www.ebi.ac.uk/efo/EFO_0001639	RMC-2C|||RMC219	RMC-2C|||RMC219	CLO:0008845|||CLO:0008845	FALSE	FALSE	FALSE
GSE52819	THP-1 cell	http://purl.obolibrary.org/obo/CLO_0009348	THP-1	THP-1	EFO:0001253	FALSE	FALSE	FALSE
GSE75789	T98G cell|||U-87 MG cell|||U-87 MG|||A172 cell	http://purl.obolibrary.org/obo/CLO_0009258|||http://purl.obolibrary.org/obo/CLO_0009464|||http://www.ebi.ac.uk/efo/EFO_0005237|||http://purl.obolibrary.org/obo/CLO_0001560	A172|||T98G|||U87MG	A172|||T98G|||U87MG	EFO:0022712|||EFO:0002085|||EFO:0005237	TRUE	FALSE	FALSE
GSE23655	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE89883	human fibroblast-induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037320	induced Pluripotent Stem Cell (iPSc) line	iPS-18a|||iPS-18b|||iPS-18c	EFO:0007105|||EFO:0007106|||EFO:0007107	FALSE	FALSE	FALSE
GSE248998	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	TMOi001-A	TMOi001-A	CLO:0000098	FALSE	FALSE	FALSE
GSE195765	SKOV3|||ovarian cancer cell lines	http://www.ebi.ac.uk/efo/EFO_0002340|||http://www.ebi.ac.uk/efo/EFO_0002394	SKOV3|||SKOV3/DDP	SKOV3|||SKOV3/DDP	EFO:0002340|||CLO:0050872	TRUE	FALSE	FALSE
GSE159778	human induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037308	PGP1	PGP1	EFO:0007950	FALSE	FALSE	FALSE
GSE160747	H9 ES cell	http://purl.obolibrary.org/obo/CLO_0037313	iPSCs|||H9 hESCs	iPSCs|||H9 hESCs	EFO:0004905|||EFO:0003045	FALSE	FALSE	FALSE
GSE8373	NIH-3T3 cell	http://purl.obolibrary.org/obo/CLO_0008172	NIH3T3	NIH3T3	EFO:0001222	FALSE	FALSE	FALSE
GSE18016	PC12	http://www.ebi.ac.uk/efo/EFO_0001225	PC12	PC12	EFO:0001225	TRUE	TRUE	TRUE
GSE33340	MCF 10A cell	http://purl.obolibrary.org/obo/CLO_0007599	MCF10A	MCF10A	CLO:0007599	TRUE	TRUE	TRUE
GSE197499	PANC-1 cell	http://purl.obolibrary.org/obo/CLO_0008381	PANC1	PANC1	EFO:0002713	FALSE	FALSE	FALSE
GSE210682	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	iPSC Cell Line A|||iPSC Cell Line B	iPSC Cell Line A|||iPSC Cell Line B	EFO:0010976|||EFO:0010976	FALSE	FALSE	FALSE
GSE178205	HEK293T cell	http://purl.obolibrary.org/obo/CLO_0037372	HEK293T	HEK293T	CLO:0037372	TRUE	TRUE	TRUE
GSE89766	A498 cell|||786-O cell	http://purl.obolibrary.org/obo/CLO_0009974|||http://purl.obolibrary.org/obo/CLO_0001486	786-O|||A498	786-O|||A498	EFO:0005707|||CLO:0009974	TRUE	FALSE	FALSE
GSE227465	HBL-1 cell|||TMD8 cell	http://purl.obolibrary.org/obo/CLO_0037256|||http://purl.obolibrary.org/obo/CLO_0037272	TMD8|||HBL1	TMD8|||HBL1	CLO:0037272|||CLO:0037256	TRUE	TRUE	TRUE
GSE12056	RCB1897 cell	http://purl.obolibrary.org/obo/CLO_0050124	K562|||TF-1	K562|||TF-1	EFO:0002067|||EFO:0022398	FALSE	FALSE	FALSE
GSE198906	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	HeLa|||EndoC-BH1|||INS1E	HeLa|||EndoC-BH1|||INS1E	CLO:0003684|||EFO:0002529	TRUE	FALSE	TRUE
GSE143713	NGP cell|||SK-N-BE(2) cell|||IMR-32 cell|||SK-N-SH cell	http://purl.obolibrary.org/obo/CLO_0037091|||http://purl.obolibrary.org/obo/CLO_0009052|||http://purl.obolibrary.org/obo/CLO_0006948|||http://purl.obolibrary.org/obo/CLO_0009059	SK-N-BE|||SK-N-SH|||NGP|||IMR32	SK-N-BE|||SK-N-SH|||NGP|||IMR32	EFO:0022401|||EFO:0003072|||CLO:0037091|||EFO:0001195	TRUE	FALSE	FALSE
GSE56188	LNCaP cell	http://purl.obolibrary.org/obo/CLO_0037116	LNCaP	LNCaP	EFO:0002071	FALSE	FALSE	FALSE
GSE213882	MCF 10A cell	http://purl.obolibrary.org/obo/CLO_0007599	MCF10A	MCF10A	CLO:0007599	TRUE	TRUE	TRUE
GSE152272	ICR MEF cell|||MEF-1 cell	http://purl.obolibrary.org/obo/CLO_0004337|||http://purl.obolibrary.org/obo/CLO_0007667	Mouse embryonic fibroblasts (MEFs)|||R1 embryonic stem cells (ESCs)	Mouse embryonic fibroblasts (MEFs)|||R1 embryonic stem cells (ESCs)	EFO:0004040|||EFO:0002076	FALSE	FALSE	FALSE
GSE171210	embryonic stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037279	mouse embryonic stem cells (ESCs)	ES-CJ7|||ES-E14TG2a|||ES-E14	EFO:0005916|||EFO:0006275|||EFO:0007075	FALSE	FALSE	FALSE
GSE223405	LNCaP cell	http://purl.obolibrary.org/obo/CLO_0037116	HPr1-AR|||LNCaP|||RC43N|||RC43T	HPr1-AR|||LNCaP|||RC43N|||RC43T	EFO:0002323|||EFO:0002071|||CLO:0051537|||CLO:0051537	FALSE	FALSE	FALSE
GSE142383	SH-SY5Y cell	http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y	SH-SY5Y	CLO:0009015	TRUE	TRUE	TRUE
GSE248996	induced pluripotent stem cell line cell 	http://purl.obolibrary.org/obo/CLO_0037307	iPSC-derived microglia-like cells (iMGLs)|||Monocyte-derived macrophages (MDMs)	iPSC-derived microglia-like cells (iMGLs)|||Monocyte-derived macrophages (MDMs)	EFO:0005740|||EFO:0006287	FALSE	FALSE	FALSE
GSE94416	SK-LMS-1 cell|||SKUT1	http://purl.obolibrary.org/obo/CLO_0009038|||http://www.ebi.ac.uk/efo/EFO_0002341	SK-LMS-1|||SK-UT-1	SK-LMS-1|||SK-UT-1	CLO:0009038|||CLO:0009065	TRUE	FALSE	FALSE
GSE133952	RCB0987 cell	http://purl.obolibrary.org/obo/CLO_0050871	C2C12	C2C12	EFO:0001098	FALSE	FALSE	FALSE
GSE13877	H9 cell|||MEL cell line	http://purl.obolibrary.org/obo/CLO_0003612|||http://www.ebi.ac.uk/efo/EFO_0003971	HES2|||MEL1|||H9	HES2|||MEL1|||H9	EFO:0003048|||EFO:0003045	FALSE	FALSE	FALSE
GSE106565	KYSE-140 cell	http://purl.obolibrary.org/obo/CLO_0007128	KYSE140|||TE5	KYSE140|||TE5	EFO:0006626|||EFO:0022658	FALSE	FALSE	FALSE
GSE166080	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	hiPSC-derived neural progenitor cells			FALSE	TRUE	FALSE
GSE153645	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	iPSC derived retinal pigment epithelium (RPE)	iPSC derived retinal pigment epithelium (RPE)	EFO:0005740	FALSE	FALSE	FALSE
GSE66812	TM4 cell	http://purl.obolibrary.org/obo/CLO_0009368	TM4 Immortalized Sertoli Cell Line	TM4 Immortalized Sertoli Cell Line	CLO:0000072	FALSE	FALSE	FALSE
GSE69845	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE173381	immortal microglial cell line cell	http://purl.obolibrary.org/obo/CLO_0000098	BV2	BV-2	EFO:0022792	FALSE	FALSE	FALSE
GSE97098	SNU-387 cell|||SNU-475 cell|||JHH-1 cell|||HuH-7|||SNU-182 cell|||huH-1 cell|||JHH-6 cell|||Hep3B|||Hep G2 cell|||JHH-4 cell|||JHH-2 cell|||SNU-398 cell|||SK-HEP-1 cell|||SNU-449 cell|||SNU-423 cell|||JHH-5|||JHH-7 cell	http://purl.obolibrary.org/obo/CLO_0009097|||http://purl.obolibrary.org/obo/CLO_0009101|||http://purl.obolibrary.org/obo/CLO_0009990|||http://www.ebi.ac.uk/efo/EFO_0005384|||http://purl.obolibrary.org/obo/CLO_0009096|||http://purl.obolibrary.org/obo/CLO_0009988|||http://purl.obolibrary.org/obo/CLO_0009993|||http://www.ebi.ac.uk/efo/EFO_0002205|||http://purl.obolibrary.org/obo/CLO_0003704|||http://purl.obolibrary.org/obo/CLO_0009992|||http://purl.obolibrary.org/obo/CLO_0009991|||http://purl.obolibrary.org/obo/CLO_0009098|||http://purl.obolibrary.org/obo/CLO_0009037|||http://purl.obolibrary.org/obo/CLO_0009100|||http://purl.obolibrary.org/obo/CLO_0009099|||http://www.ebi.ac.uk/efo/EFO_0006602|||http://purl.obolibrary.org/obo/CLO_0009994	SK-HEP-1|||Hep3B|||HepG2|||Huh-6|||Huh-7|||JHH-2|||JHH-7|||Li-7|||Mahlavu|||MHCC-97H|||PLC/PRF/5|||PLC8024	SK-HEP-1|||Hep3B|||HepG2|||Huh-6|||Huh-7|||JHH-2|||JHH-7|||Li-7|||Mahlavu|||MHCC-97H|||PLC/PRF/5|||PLC8024	CLO:0009037|||EFO:0002205|||EFO:0001187|||EFO:0005384|||EFO:0006600|||EFO:0006603|||EFO:0022710|||EFO:0022678|||EFO:0006291|||EFO:0006291	TRUE	FALSE	FALSE
GSE229114	IMR-32 cell	http://purl.obolibrary.org/obo/CLO_0006948	IMR-32	IMR-32	EFO:0001195	FALSE	FALSE	FALSE
GSE20124	embryonal carcinoma cell|||embryonic fibroblast	http://www.ebi.ac.uk/efo/EFO_0004987|||http://purl.obolibrary.org/obo/CL_2000042	hESC|||hECC|||hWJSC|||hFC	hESC|||hECC|||hWJSC|||hFC	EFO:0007080|||EFO:0022438|||CLO:0037306|||EFO:0009318	FALSE	FALSE	FALSE
GSE215415	P19 cell	http://purl.obolibrary.org/obo/CLO_0008302	P19 cells	P19 cells	EFO:0022774	FALSE	FALSE	FALSE
GSE245635	U-87 MG cell	http://purl.obolibrary.org/obo/CLO_0009464	U87	U-87 MG	EFO:0005237	FALSE	FALSE	FALSE
GSE44181	AFT024 cell|||OP9 cell	http://purl.obolibrary.org/obo/CLO_0001682|||http://purl.obolibrary.org/obo/CLO_0008268	UG26.1B6|||UG26.3B5|||AFT024|||BFC012|||BMC9|||BMC10|||OP9|||14F1-1|||2012|||AFT011|||AM14-1C4|||AM30-3F4	UG26.1B6|||UG26.3B5|||AFT024|||BFC012|||BMC9|||BMC10|||OP9|||14F1-1|||2012|||AFT011|||AM14-1C4|||AM30-3F4	CL:0002360|||CL:0002360|||CLO:0001682|||EFO:0022749|||CLO:0050273|||CLO:0050273|||CLO:0008268|||EFO:0007599|||EFO:0007076|||CL:0002360|||CL:0002360	TRUE	FALSE	TRUE
GSE224082	glioblast|||LN-18 cell	http://purl.obolibrary.org/obo/CL_0000030|||http://purl.obolibrary.org/obo/CLO_0007362	LN18|||LNZ308|||NHA	LN18|||LNZ308|||NHA	EFO:0006636|||EFO:0022714|||EFO:0002777	FALSE	FALSE	FALSE
GSE58933	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	iPSCs-derived neurons|||Control iPS neurons	iPSCs-derived neurons|||Control iPS neurons	EFO:0005740|||EFO:0004905	FALSE	FALSE	FALSE
GSE123285	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE48398	MCF7 cell|||MDA-MB-468 cell|||MDAMB231 cell|||MCF 10A cell	http://purl.obolibrary.org/obo/CLO_0007606|||http://purl.obolibrary.org/obo/CLO_0007641|||http://purl.obolibrary.org/obo/CLO_0037291|||http://purl.obolibrary.org/obo/CLO_0007599	MCF10A|||MCF7|||MDA231|||MDA468	MCF10A|||MCF7|||MDA231|||MDA468	CLO:0007599|||EFO:0001203|||CLO:0007634|||EFO:0001216	TRUE	FALSE	FALSE
GSE164813	NCI-H23 cell|||NCI-H1975 cell	http://purl.obolibrary.org/obo/CLO_0008071|||http://purl.obolibrary.org/obo/CLO_0008035	H23|||H1975	H23|||H1975	EFO:0002286|||EFO:0002271	FALSE	FALSE	FALSE
GSE18684	LNCaP cell	http://purl.obolibrary.org/obo/CLO_0037116	LNCaP	LNCaP	EFO:0002071	FALSE	FALSE	FALSE
GSE49990	FDCP-Mix cl.A4 cell	http://purl.obolibrary.org/obo/CLO_0003074	FDCPmix	FDCPmix	CLO:0003074	TRUE	TRUE	TRUE
GSE106844	TMD8 cell|||OCI-LY10	http://purl.obolibrary.org/obo/CLO_0037272|||http://www.ebi.ac.uk/efo/EFO_0006708	TMD8|||OCI-LY10	TMD8|||OCI-LY10	CLO:0037272|||EFO:0006708	TRUE	TRUE	TRUE
GSE41035	RT112/84 cell	http://purl.obolibrary.org/obo/CLO_0008891	RT112	RT112	EFO:0006479	FALSE	FALSE	FALSE
GSE33592	MCF 10A cell|||BJ cell	http://purl.obolibrary.org/obo/CLO_0007599|||http://purl.obolibrary.org/obo/CLO_0001980	BJ|||MCF10A	BJ|||MCF10A	CLO:0037211|||CLO:0007599	TRUE	FALSE	FALSE
GSE155808	T98G cell	http://purl.obolibrary.org/obo/CLO_0009258	T98G	T98G	EFO:0002085	FALSE	FALSE	FALSE
